Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS
2016-01-04,23.83437728881836,58.839683532714844,126.005126953125,53.56342315673828,19.78937530517578,59.94373321533203,57.81697082519531,95.97021484375,130.5509033203125,146.58203125
2016-01-05,23.23710060119629,57.93434524536133,126.51630401611328,53.00408935546875,19.699464797973633,60.456485748291016,57.37694549560547,94.03179168701172,130.6784210205078,144.0581512451172
2016-01-06,22.782358169555664,56.325531005859375,124.50740814208984,52.16900634765625,19.489656448364258,58.068172454833984,56.1147575378418,93.52852630615234,128.59532165527344,140.54129028320312
2016-01-07,21.820842742919922,55.81840133666992,119.28781127929688,50.3727912902832,19.04006576538086,56.010440826416016,54.00728988647461,92.72706604003906,123.15398406982422,136.22178649902344
2016-01-08,21.936222076416016,55.63478469848633,116.57938385009766,49.8607177734375,18.567995071411133,55.409996032714844,53.59041976928711,92.49410247802734,120.94342803955078,135.65907287597656
2016-01-11,22.291423797607422,56.002017974853516,116.77669525146484,48.42689895629883,18.935161590576172,54.49243927001953,52.57141876220703,93.11849212646484,121.49606323242188,137.14035034179688
2016-01-12,22.614946365356445,56.30805206298828,118.3102798461914,48.52931213378906,18.99510383605957,55.42348861694336,51.865047454833984,94.55366516113281,121.7511215209961,137.123779296875
2016-01-13,22.03351402282715,54.95280456542969,114.90229797363281,47.969970703125,18.43312644958496,54.87027359008789,50.52183532714844,91.77649688720703,120.0506820678711,131.5630340576172
2016-01-14,22.51539421081543,55.33750915527344,115.87089538574219,49.057132720947266,18.478084564208984,57.663368225097656,51.22819137573242,92.3636245727539,123.53656768798828,133.5489959716797
2016-01-15,21.974679946899414,55.00526428222656,112.66918182373047,47.756935119628906,17.698793411254883,56.44898223876953,49.74598693847656,87.5082778930664,121.1135025024414,128.7660675048828
2016-01-19,21.86835289001465,54.76919174194336,113.05482482910156,47.08686828613281,17.871139526367188,54.991695404052734,48.71540451049805,87.57350158691406,121.1135025024414,129.76736450195312
